income,race,sex,workclass,marital-status,age,education-num,capital-gain,capital-loss,hours-per-week
<=50K.,White,Male,Gov,Never-married,39,13,2174,0,40
>50K.,Asian-Pac-Islander,Male,Gov,Married,30,13,0,0,40
<=50K.,Black,Male,Gov,Married,35,5,0,0,40
>50K.,White,Male,Gov,Married,56,13,0,0,40
<=50K.,White,Male,Gov,Never-married,23,12,0,0,52
<=50K.,White,Male,Gov,Married,30,10,0,0,40
<=50K.,Black,Male,Gov,Married,22,10,0,0,15
>50K.,Black,Male,Gov,Married,57,13,0,0,40
<=50K.,White,Male,Gov,Married,41,11,0,0,40
>50K.,White,Male,Gov,Divorced,50,13,0,0,55
<=50K.,White,Male,Gov,Married,31,4,0,0,40
>50K.,White,Male,Gov,Married,49,9,0,0,40
>50K.,White,Female,Gov,Never-married,43,16,0,0,50
>50K.,White,Male,Gov,Married,34,13,0,0,40
<=50K.,White,Male,Gov,Never-married,29,10,0,0,50
<=50K.,Black,Male,Gov,Never-married,32,9,0,0,40
<=50K.,White,Female,Gov,Never-married,31,9,0,0,40
>50K.,Black,Male,Gov,Married,49,11,0,0,40
>50K.,White,Male,Gov,Married,29,13,0,0,50
>50K.,White,Male,Gov,Married,38,14,0,0,40
<=50K.,White,Female,Gov,Divorced,47,10,0,0,38
<=50K.,White,Male,Gov,Never-married,39,12,0,0,42
<=50K.,White,Male,Gov,Widowed,46,14,0,0,40
<=50K.,White,Female,Gov,Widowed,66,11,0,0,20
<=50K.,White,Male,Gov,Married,28,9,0,0,40
>50K.,White,Male,Gov,Married,28,13,0,0,40
>50K.,Black,Male,Gov,Married,44,10,0,0,38
>50K.,White,Male,Gov,Married,37,10,0,0,42
>50K.,White,Male,Gov,Married,58,16,0,0,1
<=50K.,Black,Male,Gov,Married,41,13,0,0,40
<=50K.,White,Male,Gov,Married,41,13,0,0,24
>50K.,White,Female,Gov,Never-married,40,14,14084,0,55
<=50K.,White,Female,Gov,Never-married,42,10,0,1340,40
<=50K.,White,Female,Gov,Divorced,37,9,0,0,35
<=50K.,Black,Male,Gov,Married,44,9,0,0,40
<=50K.,White,Female,Gov,Never-married,53,1,0,0,35
<=50K.,White,Male,Gov,Married,59,9,0,0,40
<=50K.,White,Female,Gov,Never-married,40,10,0,0,38
>50K.,White,Male,Gov,Married,38,14,0,0,70
<=50K.,White,Male,Gov,Married,24,12,0,0,50
<=50K.,Black,Female,Gov,Widowed,59,6,0,0,30
<=50K.,White,Male,Gov,Never-married,19,10,0,0,40
<=50K.,White,Male,Gov,Never-married,27,14,0,0,35
>50K.,White,Male,Gov,Married,42,10,5178,0,40
>50K.,White,Male,Gov,Married,57,14,15024,0,40
<=50K.,White,Male,Gov,Never-married,29,13,0,0,56
<=50K.,White,Male,Gov,Married,55,6,0,0,40
>50K.,White,Male,Gov,Married,36,9,7298,0,40
<=50K.,Black,Female,Gov,Never-married,22,10,0,0,40
<=50K.,White,Male,Gov,Married,46,7,0,0,30
>50K.,White,Male,Gov,Married,38,9,0,0,40
<=50K.,White,Female,Gov,Never-married,26,10,0,0,15
>50K.,White,Male,Gov,Married,40,11,0,0,38
<=50K.,White,Female,Gov,Never-married,20,10,0,0,10
<=50K.,White,Female,Gov,Married,36,10,0,0,40
>50K.,White,Male,Gov,Married,34,13,7688,0,45
>50K.,White,Male,Gov,Married,50,13,0,0,40
<=50K.,Black,Female,Gov,Divorced,41,10,0,0,24
<=50K.,White,Male,Gov,Married,31,10,0,0,40
<=50K.,Black,Male,Gov,Separated,34,7,0,0,40
<=50K.,White,Female,Gov,Divorced,34,9,0,0,40
>50K.,White,Female,Gov,Married,32,13,0,0,40
<=50K.,White,Male,Gov,Never-married,36,14,0,1408,40
<=50K.,White,Male,Gov,Married,47,14,0,0,40
<=50K.,Black,Male,Gov,Never-married,34,9,594,0,60
<=50K.,White,Female,Gov,Never-married,34,10,0,0,40
<=50K.,White,Female,Gov,Married,42,10,0,0,40
<=50K.,White,Male,Gov,Never-married,24,9,0,0,40
<=50K.,Black,Male,Gov,Married,54,9,0,0,40
<=50K.,White,Male,Gov,Never-married,28,13,0,0,20
<=50K.,White,Male,Gov,Married,59,9,0,0,45
<=50K.,White,Female,Gov,Divorced,45,13,0,0,40
<=50K.,White,Male,Gov,Divorced,46,9,0,0,40
<=50K.,White,Male,Gov,Never-married,23,9,0,0,40
<=50K.,White,Male,Gov,Married,62,9,0,0,40
<=50K.,Black,Female,Gov,Separated,47,9,0,0,40
<=50K.,Black,Male,Gov,Divorced,24,10,0,0,50
>50K.,White,Male,Gov,Married,37,10,0,0,45
<=50K.,White,Male,Gov,Married,39,8,0,0,50
<=50K.,White,Male,Gov,Married,35,10,0,0,40
>50K.,Black,Female,Gov,Divorced,33,11,0,0,40
<=50K.,White,Female,Gov,Never-married,58,13,0,0,40
<=50K.,White,Male,Gov,Married,42,5,0,0,40
<=50K.,Black,Male,Gov,Separated,36,9,0,0,40
<=50K.,White,Male,Gov,Never-married,26,13,1055,0,40
<=50K.,Black,Female,Gov,Separated,49,6,0,0,40
<=50K.,White,Female,Gov,Divorced,31,9,0,0,40
>50K.,White,Male,Gov,Married,30,13,0,0,40
<=50K.,White,Female,Gov,Separated,38,10,0,0,45
<=50K.,Asian-Pac-Islander,Female,Gov,Never-married,29,10,0,0,40
<=50K.,White,Male,Gov,Never-married,43,14,0,0,38
<=50K.,White,Male,Gov,Married,27,10,3411,0,40
<=50K.,White,Male,Gov,Divorced,48,10,0,0,40
<=50K.,White,Male,Gov,Never-married,29,9,0,0,48
<=50K.,Black,Male,Gov,Separated,23,10,0,0,40
<=50K.,White,Female,Gov,Never-married,18,7,0,0,5
<=50K.,White,Female,Gov,Married,45,13,0,0,55
<=50K.,White,Male,Gov,Married,54,10,0,0,40
<=50K.,White,Female,Gov,Never-married,23,13,0,0,20
<=50K.,White,Male,Gov,Never-married,36,13,0,0,50
<=50K.,White,Female,Gov,Divorced,36,13,0,0,35
<=50K.,White,Female,Gov,Never-married,19,9,0,0,40
>50K.,White,Male,Gov,Married,50,9,0,0,42
<=50K.,White,Male,Gov,Married,43,13,0,0,50
>50K.,White,Female,Gov,Married,42,13,0,0,40
<=50K.,White,Male,Gov,Married,46,13,0,0,37
>50K.,White,Male,Gov,Married,29,13,7688,0,40
<=50K.,White,Female,Gov,Never-married,33,13,0,0,45
>50K.,White,Female,Gov,Married,46,9,0,0,40
>50K.,White,Female,Gov,Married,59,9,0,0,38
<=50K.,White,Male,Gov,Divorced,34,9,0,0,40
<=50K.,White,Male,Gov,Married,31,10,0,0,40
<=50K.,White,Male,Gov,Divorced,23,11,0,0,56
<=50K.,White,Male,Gov,Married,43,10,0,0,40
<=50K.,White,Female,Gov,Widowed,62,13,0,0,48
<=50K.,White,Female,Gov,Divorced,40,9,0,0,50
>50K.,White,Male,Gov,Divorced,48,16,0,0,50
<=50K.,White,Female,Gov,Never-married,34,9,0,0,40
<=50K.,White,Male,Gov,Married,63,4,0,0,55
<=50K.,White,Male,Gov,Married,51,1,0,0,40
<=50K.,Black,Female,Gov,Divorced,54,10,0,0,35
>50K.,White,Female,Gov,Married,44,9,0,0,40
<=50K.,White,Male,Gov,Divorced,33,6,0,0,40
>50K.,White,Male,Gov,Married,40,14,0,0,35
>50K.,White,Male,Gov,Widowed,45,9,0,0,40
>50K.,White,Male,Gov,Divorced,48,13,0,0,58
>50K.,White,Female,Gov,Married,38,9,0,0,40
<=50K.,White,Female,Gov,Never-married,23,13,0,0,60
>50K.,White,Male,Gov,Married,48,14,0,0,35
<=50K.,White,Male,Gov,Never-married,20,12,0,1719,20
>50K.,White,Male,Gov,Married,49,14,0,1902,40
<=50K.,White,Female,Gov,Never-married,22,13,0,0,20
>50K.,White,Female,Gov,Married,48,16,0,1902,46
>50K.,White,Female,Gov,Married,43,11,0,0,40
<=50K.,White,Female,Gov,Divorced,19,9,0,0,35
>50K.,White,Male,Gov,Married,41,10,0,0,40
>50K.,White,Male,Gov,Married,41,12,0,0,40
<=50K.,White,Female,Gov,Divorced,34,9,0,0,33
<=50K.,White,Male,Gov,Never-married,37,13,0,0,38
>50K.,White,Female,Gov,Married,58,13,0,0,40
<=50K.,White,Female,Gov,Divorced,45,9,4865,0,40
<=50K.,White,Male,Gov,Married,34,10,0,0,38
<=50K.,Black,Male,Gov,Widowed,63,9,0,0,40
>50K.,Black,Male,Gov,Married,35,9,0,0,60
<=50K.,White,Female,Gov,Widowed,59,9,0,0,40
<=50K.,White,Male,Gov,Married,43,9,0,0,40
>50K.,White,Female,Gov,Married,28,14,0,0,50
>50K.,White,Male,Gov,Married,50,9,0,0,48
<=50K.,Asian-Pac-Islander,Male,Gov,Never-married,24,7,0,0,45
<=50K.,Black,Female,Gov,Never-married,59,10,0,0,40
<=50K.,White,Female,Gov,Never-married,24,13,0,0,65
<=50K.,White,Male,Gov,Never-married,27,13,0,0,35
<=50K.,Black,Female,Gov,Divorced,49,13,0,0,40
<=50K.,White,Male,Gov,Married,51,12,0,0,60
>50K.,Black,Male,Gov,Married,45,9,0,0,80
>50K.,White,Male,Gov,Married,30,13,0,0,50
<=50K.,White,Male,Gov,Married,61,9,0,0,40
<=50K.,White,Female,Gov,Divorced,52,9,0,0,40
<=50K.,White,Female,Gov,Widowed,36,9,0,0,40
<=50K.,White,Male,Gov,Never-married,38,10,0,0,12
<=50K.,White,Female,Gov,Divorced,52,9,0,0,43
>50K.,White,Male,Gov,Married,43,13,0,0,40
<=50K.,White,Male,Gov,Separated,37,10,0,0,40
<=50K.,White,Male,Gov,Divorced,44,13,0,0,40
>50K.,White,Male,Gov,Married,51,13,0,0,40
>50K.,Asian-Pac-Islander,Female,Gov,Divorced,42,12,0,0,40
<=50K.,Black,Male,Gov,Never-married,44,10,0,0,40
<=50K.,Black,Male,Gov,Never-married,29,10,0,0,60
<=50K.,White,Male,Gov,Married,45,13,0,0,40
>50K.,White,Male,Gov,Married,41,13,0,0,40
<=50K.,White,Female,Gov,Widowed,61,9,1471,0,35
<=50K.,White,Male,Gov,Married,38,10,0,0,40
<=50K.,White,Male,Gov,Never-married,28,15,0,0,40
<=50K.,White,Male,Gov,Never-married,59,9,0,0,40
<=50K.,White,Female,Gov,Never-married,31,11,0,0,40
<=50K.,Black,Female,Gov,Widowed,53,10,0,0,40
<=50K.,White,Female,Gov,Never-married,43,11,0,0,35
<=50K.,White,Male,Gov,Never-married,25,13,0,0,45
>50K.,Black,Male,Gov,Married,40,4,0,1887,40
<=50K.,Black,Female,Gov,Never-married,19,9,0,0,40
>50K.,White,Female,Gov,Married,39,12,0,0,50
<=50K.,Asian-Pac-Islander,Male,Gov,Married,28,10,0,0,20
<=50K.,Black,Male,Gov,Married,53,9,0,0,40
<=50K.,Black,Male,Gov,Never-married,35,10,0,0,40
>50K.,White,Female,Gov,Married,36,12,0,0,40
<=50K.,Black,Male,Gov,Married,70,9,0,0,40
<=50K.,White,Female,Gov,Never-married,28,13,0,0,40
<=50K.,White,Male,Gov,Married,69,14,0,0,11
>50K.,Black,Male,Gov,Married,43,13,0,0,40
<=50K.,White,Female,Gov,Divorced,57,9,0,0,40
>50K.,White,Male,Gov,Married,53,9,15024,0,35
<=50K.,White,Male,Gov,Married,58,9,0,0,40
